Publication Date,Title,Acronym,Venue,PLMs,Tasks,Research Direction,Addressed Challenges,Limitations,Work Contribution 
2023-08-09,Simple Knowledge Graph Completion Model Based on Differential Negative Sampling and Prompt Learning,--,Information (Switzerland),T5-base,Knowledge Graph Completion,"They identified the critical factor for the suboptimal performance as the negative sampling process. To tackle this issue, they harnessed the structure information of the knowledge graph for categorization. They then adopted corresponding negative sampling methods for different categories, thereby proposing a novel PLM-based KGC model. ","The incompleteness of existing KGs hinders their effectiveness in practical applications. . Currently, embedding-based techniques dominate the field as they leverage the structural information within KGs to infer and complete missing parts. Nonetheless, these methods exhibit limitations. They are limited by the quality and quantity of structural information and are unable to handle the missing entities in the original KG. To overcome these challenges, researchers have attempted to integrate pretrained language models and textual data to perform KG completion. However, text-based methods still lag behind embedding-based models in terms of performance.",--,Hard prompting in framework
2023-07-19,Soft Prompt Decoding for Multilingual Dense Retrieval,KD-SPD,SIGIR,"XLM-R , mBERT",Multilingual Information Retrieval ,"They presented a knowledge distillation (KD) framework based on soft prompt decoding (SPD) to address the multilingual information retrieval (MLIR) task. Using the soft prompt matrix as a task indicator, KD-SPD can implicitly translate documents from multiple languages into the same embedding space as the query language. Their experimental results show that KD-SPD significantly outperforms other baselines on three qualitatively different MLIR evaluation datasets. ",SOTA approaches in MLIR lead to sub-optimal performance. This is due to the heterogeneous and imbalanced nature of multilingual collections – some languages are better represented in the collection and some benefit from large-scale training data. ,--,Continuous prompting in framework
2023-10-20,Soft Prompt Enhanced Joint Learning for Cross-domain Aspect-based Sentiment Analysis,--,Intelligent Systems with Applications,T5-base,Sentiment Analysis,"Their model can achieve good performance, indicating that their method is effective to tackle cross-domain aspect term extraction task on both small-scale and
large-scale datasets.","Aspect term extraction is a fundamental task in fine-grained sentiment analysis. Traditional supervised models have achieved promising results with annotated datasets. However, their performance dramatically decreases in cross-domain aspect term extraction tasks. Existing cross-domain transfer learning methods face two common limitations: (1) these works directly inject linguistic features into language models, making it challenging to transfer linguistic knowledge to the target domain; (2) they rely on the fixed predefined prompts, which is time-consuming to construct the prompts for all potential aspect term spans. ",--,Soft prompt in framework 
2024-02-04,SPeC: A Soft Prompt-Based Calibration on Performance Variability of Large Language Model in Clinical Notes Summarization,SPeC,Journal of Biomedical Informatics,"Flan-T5, BART,  Pegasus-xsum",Summarization,"By employing soft prompts with discrete prompts, our approach effectively mitigates the variance in summarizing clinical notes while still harnessing the benefits of promptbased summarization techniques.","Manual summarization of clinical findings and reports into summaries is both time-consuming and prone to errors. Moreover, given the volume and complexity of the data, even experienced clinicians can inadvertently overlook significant aspects of the patient’s condition. Thus, there is a pressing need to develop automated methods for generating summaries, enhancing both efficiency and accuracy in patient care.","Complex medical terminologies and abbreviations might appear in other medical reports, which can lead to vague or misleading summaries when the model attempts to generate concise information regarding non-radiology reports. Some medical reports may reveal more private and demographic information about the patients for necessity.  Ethically, solely  relying on AI-generated summaries might lead to reduced human oversight, potentially overlooking critical findings or errors that only a human expert could detect.",Hybrid prompting in framework
2022-05-27,The Power of Prompt Tuning for Low-Resource Semantic Parsing,--,ACL,"T5, BART",Semantic Parsing,Adapting large pre-trained language models to low-resource semantic parsing tasks using prompt tuning,Effective adaptation of language models to low-resource setups. Canonical versus meaning representations for semantic parsing. Large model capability to handle out-of-distribution data.,Requires significantly more training epochs than fine-tuning. Lacks extensive analysis of learned prompts. Training with meaning representations is compute-intensive.,Demonstrates that prompt tuning outperforms fine-tuning in low-resource semantic parsing. 
2024-08-20,TopicTag: Automatic Annotation of NMF Topic Models Using Chain of Thought and Prompt Tuning with LLMs,TopicTag,DocEng,"Mistral-7BInstruct-v0.2, Mistral-7B-Instruct-v0.3, MetaLlama-3-8B-Instruct, Meta-Llama-3-70B-Instruct, GPT-4o.",Topic Labeling,Their TopicTag algorithm can effectively generalize in-domain to provide concise label summarizations for document clusters. This is achieved by incorporating the outputs of NMFk as document features within LLM prompts. It still is an underexplored research area.,"Automating topic labeling in documents clustered via NMF with automatic model determination (NMFk). By
leveraging the output of NMFk and employing prompt engineering, idea to utilize large language models (LLMs) to generate accurate topic labels. ",--,Hard prompting in framework
2022-08-14,Towards Unified Conversational Recommender Systems via Knowledge-Enhanced Prompt Learning,UniCRS,KDD,DialoGPT-small,Conversational Recommender Systems,"UniCRS, a knowledge-enhanced prompt approach, unifies the recommendation and conversation subtasks into the prompt learning paradigm. It utilizes knowledge-enhanced prompts based on a fixed PLM to
fulfill both subtasks in a unified approach, infusing task-specific knowledge soft tokens with the dialouge history input. They also fused the KGs and model semantic space to solve their gap.","Existing CRS works either design semantic alignment strategies, or share knowledge resources and representations between the two modules. These approaches rely on different architectures or techniques to develop the two modules, making it difficult for effective module integration.",--,Continuous prompt tuning in KE framework
2023-09-20,Towards using Few-Shot Prompt Learning for Automating Model Completion,--,ICSE NIER,GPT-3 text-davinci-002,Domain Modeling Completion,"One advantage of their approach is the ability to target different modeling formalisms by defining semantic mapping between the formalism constructs and the natural language concepts. Additionally, the semantic mapping is illustrated with few examples, i.e., few shots, to help the language model find good results for a given prompt.",Developments in deep learning have opened a world of possibilities to automate and assist software specialists in software development and amintenence. These opportunities are limited when dealing with early software development phases such as analysis and design.,A calibration study is still necessary to determine the boundaries of the provided existing context to have the best suggestions. Another consideration that has to be studied is the use of non-natural language elements such as symbols and digits. They believe that a more sophisticated mapping of those elements would considerably improve the results.,Discrete prompting in framework
2023-05-18,"Translating radiology reports into plain language using ChatGPT and GPT-4 with prompt learning: results, limitations, and potential",--,"Visual Computing for Industry, Biomedicine, and Art",ChatGPT with GPT-4,Text Simplification,ChatGPT’s plain language translation tends to oversimplify or overlook some key points when using an ambiguous prompt.Such uncertainty can be reduced  by replacing the vague prompt with an optimized prompt.,"In this study, we investigate the feasibility of using ChatGPT in experiments on translating radiology reports into plain language for patients and healthcare providers so that they are educated for improved healthcare.","The uncertainty in ChatGPT’s responses. Given the same prompt for the same radiology report, ChatGPT generates distinctive responses each time, which results in a variety of translated reports. Such random results are partially inherent to the language model and partially attributed to the ambiguity of the prompts.",Study
2023-07-19,VPN: Variation on Prompt Tuning for Named-Entity Recognition,VPN,Applied Sciences (Switzerland),BERT-base-chinese,NER,"They propose a simple yet effective variation on prompt tuning for Chinese NER. We took the one-pass decoding strategy, which significantly increases the decoding speed. They let the LM predict several label words derived from a training dataset and convert them to label tokens in the vocabulary of the pre-trained model, retrieving the overall tag-related logits. For small datasets, such as Weibo, compared to the vanilla BERT-tagger, the rest of the baseline models have little improvement, while their model improved by 4–5%","Despite success of prompt-based methods in sentence-level classification tasks, these methods work poorly in token-level tasks, such as named entity recognition (NER), due to the sophisticated design of entity-related templates. The template design is complex for NER. To obtain templates, NER needs to enumerate all possible entity spans and types, then feed the spans and types to a pre-defined template, which is time-consuming and labour-intensive.",--,Discrete promting in framework
2024-05-23,You Only Prompt Once: On the Capabilities of Prompt Learning on Large Language Models to Tackle Toxic Content,--,IEEE SP,--,--,"They found that prompt tuning can achieve comparable or even better performance compared to the baselines. As shown in their evaluation, integrating prompt tuning into toxic content research can better help to improve the dataset quality and the model utility as the toxicity label (Task 1), predicted toxic span (Task 2), and detoxified sentence (Task 3) can be used to assist the labeling procedure._x000D_","Research focuses on developing solutions to detect toxic content, usually leveraging machine learning (ML) models trained on human-annotated datasets. While these efforts are important, these models usually do not generalize well and they can not cope with new trends.","Conducting experiments with larger models with billions of parameters would be appealing, our hardware capabilities limit such endeavors. Also, they use Perspective API as an indicator to quantify the toxicity level (e.g., on Task 3), which is likely to yield some false positives/false negatives.","systematic
analysis focusing on how prompt learning can help tackle
the problem of toxic content."
2023-06-26,Zero-Shot Cross-Lingual Event Argument Extraction with Language-Oriented Prefix-Tuning,LAPIN ,AAAI,mT5,"Event Argument Extraction, Recommendation Systems, Dialogue Systems, Summarization",Zero-shot cross-lingual event argument extraction,Differences in languages regarding the distance between triggers and arguments,--,Proposal of LAPIN for zero-shot cross-lingual EAE
